Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.26928,1,0,0,0,0,0,0,0,0.68,0,0,0,-0.019844,0.0212546,-0.00766536,0.000948584,1.54,0,0,0,-0.238601,0.19309,-0.0570387,0.00602417,0,0,0,0,0,0,0,0
0.920894,1,0,0,0,0,0,0,0,0.68,0.0296878,0.0203073,0.00330037,0.927049,-2.15676,1.80836,-0.531248,0.91,-0.386974,0.116256,0.0379214,0.456886,-0.595806,0.115273,0.060293,0,0,0,0,0,0,0,0
1.09241,1,0,0,0,0,0,0,0,0.77,0.133862,0.0225909,0.000862112,0.934957,-1.95769,1.44389,-0.368458,0.72,-0.0761289,-0.0251339,-0.0136858,-1.15,2.68161,-2.08535,0.549905,0,0,0,0,0,0,0,0
1.22333,1,0,0,0,0,0,0,0,1,0.216238,0.00499799,0.00487656,0.329479,-0.749837,0.545189,-0.132125,0.6,-0.00562019,0.0732141,0.000925101,0.871404,-1.77843,1.22993,-0.289204,0,0,0,0,0,0,0,0
0.918458,1,0,0,0,0,0,0,0,1.25,0.128736,-0.0330295,0.000827997,0.286223,-1.0565,1.13412,-0.389936,0.72,0.077284,0.0215642,0.0145525,0.67964,-1.0714,0.629422,-0.129995,0,0,0,0,0,0,0,0
1.85845,1,0,0,0,0,0,0,0,1.32,0.00707062,-0.0138678,0.00219358,0.0133995,-0.0127267,0.00458929,-0.000602125,0.91,0.369975,0.134887,-0.0109082,0.328588,-0.59007,0.306768,-0.0513354,0,0,0,0,0,0,0,0
