Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.38296,1,0,0,0,0,0,0,0,0.63,0,0,0,0.165332,-0.144153,0.0452732,-0.00498317,0.63,0,0,0,0.587122,-0.529641,0.169587,-0.019038,0,0,0,0,0,0,0,0
2.50062,1,0,0,0,0,0,0,0,1,0.193009,-0.0164623,0.0186562,0.0101712,-0.0262918,0.0113206,-0.00148232,1.61,0.170573,-0.359715,-0.0696241,-0.163508,0.238444,-0.0867673,0.010182,0,0,0,0,0,0,0,0
1.68097,1,0,0,0,0,0,0,0,1.36,0.0609546,-0.010004,-0.011967,0.30475,-0.524586,0.283269,-0.0503823,0.63,-0.0206389,0.284224,0.0045479,-0.0838052,-0.00453875,0.0202326,-0.00438905,0,0,0,0,0,0,0,0
1.65706,1,0,0,0,0,0,0,0,1.25,-0.371919,-0.0951728,0.0443573,-0.40031,0.753288,-0.434771,0.0814333,0.98,0.136172,-0.143142,0.00831305,-0.0973204,0.201711,-0.114906,0.0210492,0,0,0,0,0,0,0,0
