Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.32996,1,0,0,0,0,0,0,0,1,0,0,0,1.48401,-2.36946,1.3621,-0.274655,1.45,0,0,0,-0.36898,0.471496,-0.222607,0.0372856,0,0,0,0,0,0,0,0
1.16336,1,0,0,0,0,0,0,0,1.3,0.264651,-0.0670634,-0.0066742,-0.276103,0.216567,0.0102752,-0.0304554,1.3,-0.209515,-0.0131316,-0.0136091,-0.888103,1.8954,-1.3759,0.340369,0,0,0,0,0,0,0,0
1.22114,1,0,0,0,0,0,0,0,1.4,-0.0710709,-0.00314211,0.0105943,-0.00343938,-0.0302379,0.0270332,-0.00684153,1,-0.214706,-0.00174366,-1.93647e-05,-0.738321,1.46845,-1.00555,0.235476,0,0,0,0,0,0,0,0
1.23578,1,0,0,0,0,0,0,0,1.3,-0.11096,-0.034165,-0.00504602,-0.965234,1.75617,-1.12844,0.251645,0.7,-0.187495,0.0197018,-0.00395243,-0.251799,0.656156,-0.505626,0.12634,0,0,0,0,0,0,0,0
1.23578,1,0,0,0,0,0,0,0,1,-0.266009,-8.80066e-16,-0.00833188,-0.658629,1.46017,-1.049,0.251806,0.55,1.42918e-15,0.0392601,-5.56724e-15,0.5651,-0.958834,0.58727,-0.12634,0,0,0,0,0,0,0,0
1.22114,1,0,0,0,0,0,0,0,0.7,-0.11096,0.034165,-0.00467151,-0.475265,1.00576,-0.719464,0.17399,0.7,0.187495,0.0197018,0.00395243,0.762448,-1.519,1.04091,-0.243947,0,0,0,0,0,0,0,0
1.16336,1,0,0,0,0,0,0,0,0.6,-0.0111673,0.00314211,0.0105943,0.0417324,0.176533,-0.227767,0.0707627,1,0.214706,0.00401419,4.45805e-05,0.918988,-1.89196,1.34869,-0.329547,0,0,0,0,0,0,0,0
1.32996,1,0,0,0,0,0,0,0,0.7,0.234594,0.0670634,-0.0418005,1.10817,-2.25366,1.51463,-0.340195,1.3,0.209515,-0.0131316,0.0136091,-0.0699123,-0.0801081,0.124512,-0.0372856,0,0,0,0,0,0,0,0
